prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,8.35233
0,0,1,32,8.45867
0,0,1,64,8.437
0,0,1,128,11.936
0,0,1,256,12.2347
0,0,1,512,12.6507
0,0,1,768,13.3013
0,0,1,1024,14.592
0,0,1,1152,14.3893
0,0,1,1728,16.768
0,0,1,2048,18.795
0,0,1,2592,20.192
0,0,1,3888,25.8027
0,0,1,4096,27.157
0,0,1,5832,33.1093
0,0,1,8192,37.9733
0,0,1,8748,39.3707
0,0,1,13122,50.975
0,0,1,16384,62.3787
0,0,2,16,12.5653
0,0,2,32,12.704
0,0,2,64,12.8633
0,0,2,128,15.3923
0,0,2,256,15.8513
0,0,2,512,16.7577
0,0,2,768,18.4103
0,0,2,1024,20.6177
0,0,2,1152,20.8003
0,0,2,1728,24.982
0,0,2,2048,27.5193
0,0,2,2592,30.496
0,0,2,3888,37.12
0,0,2,4096,38.806
0,0,2,5832,49.2477
0,0,2,8192,62.3257
0,0,2,8748,65.6533
0,0,2,13122,88.0427
0,0,2,16384,106.677
0,0,4,16,12.8527
0,0,4,32,13.046
0,0,4,64,12.9597
0,0,4,128,15.8827
0,0,4,256,17.067
0,0,4,512,19.4673
0,0,4,768,22.848
0,0,4,1024,26.304
0,0,4,1152,27.4783
0,0,4,1728,34.3363
0,0,4,2048,37.7173
0,0,4,2592,42.8477
0,0,4,3888,56.64
0,0,4,4096,59.4563
0,0,4,5832,79.6053
0,0,4,8192,106.795
0,0,4,8748,111.659
0,0,4,13122,159.807
0,0,4,16384,194.699
0,0,8,16,13.205
0,0,8,32,13.2383
0,0,8,64,13.643
0,0,8,128,16.608
0,0,8,256,20.5443
0,0,8,512,25.206
0,0,8,768,32.1493
0,0,8,1024,36.9283
0,0,8,1152,39.2213
0,0,8,1728,51.573
0,0,8,2048,60.4047
0,0,8,2592,70.763
0,0,8,3888,102.699
0,0,8,4096,108.16
0,0,8,5832,144.736
0,0,8,8192,196.268
0,0,8,8748,208.117
0,0,8,13122,303.692
0,0,8,16384,373.653
0,0,16,16,13.1517
0,0,16,32,13.632
0,0,16,64,14.3467
0,0,16,128,20.0743
0,0,16,256,26.027
0,0,16,512,36.1707
0,0,16,768,48.2987
0,0,16,1024,60.288
0,0,16,1152,67.1577
0,0,16,1728,96.5863
0,0,16,2048,110.304
0,0,16,2592,135.521
0,0,16,3888,193.728
0,0,16,4096,205.037
0,0,16,5832,280.598
0,0,16,8192,379.735
0,0,16,8748,403.628
0,0,16,13122,589.367
0,0,16,16384,729.303
0,0,32,16,17.888
0,0,32,32,18.208
0,0,32,64,19.7977
0,0,32,128,26.1327
0,0,32,256,37.291
0,0,32,512,63.19
0,0,32,768,92.6077
0,0,32,1024,119.286
0,0,32,1152,131.009
0,0,32,1728,182.689
0,0,32,2048,212.277
0,0,32,2592,258.561
0,0,32,3888,369.355
0,0,32,4096,390.336
0,0,32,5832,537.974
0,0,32,8192,742.958
0,0,32,8748,790.284
0,0,32,13122,1157.92
0,0,32,16384,1441.75
0,0,64,16,22.8047
0,0,64,32,23.7437
0,0,64,64,26.5497
0,0,64,128,39.093
0,0,64,256,68.5337
0,0,64,512,127.446
0,0,64,768,176.544
0,0,64,1024,221.237
0,0,64,1152,243.542
0,0,64,1728,340.406
0,0,64,2048,397.729
0,0,64,2592,489.889
0,0,64,3888,711.117
0,0,64,4096,753.506
0,0,64,5832,1050.94
0,0,64,8192,1458.02
0,0,64,8748,1552.1
0,0,64,13122,2301.34
0,0,64,16384,2855.09
0,0,128,16,35.798
0,0,128,32,37.0237
0,0,128,64,44.2347
0,0,128,128,74.3043
0,0,128,256,134.774
0,0,128,512,229.077
0,0,128,768,316.855
0,0,128,1024,404.865
0,0,128,1152,449.869
0,0,128,1728,647.159
0,0,128,2048,760.119
0,0,128,2592,943.95
0,0,128,3888,1393.25
0,0,128,4096,1461.14
0,0,128,5832,2051.37
0,0,128,8192,2854.95
0,0,128,8748,3046.12
0,0,128,13122,4538.1
0,0,128,16384,5654.07
0,0,256,16,62.262
0,0,256,32,64.4903
0,0,256,64,76.2137
0,0,256,128,125.036
0,0,256,256,220.705
0,0,256,512,397.324
0,0,256,768,573.036
0,0,256,1024,754.755
0,0,256,1152,837.251
0,0,256,1728,1227.19
0,0,256,2048,1452.78
0,0,256,2592,1823.83
0,0,256,3888,2713.08
0,0,256,4096,2856.19
0,0,256,5832,4033.25
0,0,256,8192,5645.5
0,0,256,8748,6017.58
0,0,256,13122,9015.48
0,0,256,16384,11238.9
16,0,0,0,15.5307
16,0,1,16,15.872
16,0,1,32,15.8507
16,0,1,64,15.936
16,0,1,128,19.4547
16,0,1,256,24.5974
16,0,1,512,34.518
16,0,1,768,44.7146
16,0,1,1024,56.2774
16,0,1,1152,61.248
16,0,1,1728,84.4166
16,0,1,2048,100.864
16,0,1,2592,123.499
16,0,1,3888,177.751
16,0,1,4096,189.59
16,0,1,5832,262.934
16,0,1,8192,369.92
16,0,1,8748,392.278
16,0,1,13122,580.564
16,0,1,16384,727.786
16,0,2,16,15.4447
16,0,2,32,15.4867
