layer,tokens,time_us
act_fn,1,5.35466
act_fn,2,5.696
act_fn,3,5.80266
act_fn,4,5.84466
act_fn,5,5.888
act_fn,6,5.888
act_fn,7,6.03734
act_fn,8,5.93134
act_fn,9,6.03666
act_fn,10,5.93
act_fn,11,5.97266
act_fn,12,5.97334
act_fn,13,6.144
act_fn,14,5.97266
act_fn,15,6.016
act_fn,16,5.974
act_fn,20,6.10066
act_fn,24,5.93066
act_fn,28,6.03734
act_fn,32,6.05934
act_fn,36,6.29334
act_fn,40,6.272
act_fn,44,6.29266
act_fn,48,6.742
act_fn,52,6.31466
act_fn,56,6.37866
act_fn,60,6.29334
act_fn,64,6.23
act_fn,80,6.29334
act_fn,96,6.33666
act_fn,112,6.57066
act_fn,128,6.71934
act_fn,144,6.934
act_fn,160,7.338
act_fn,176,7.63734
act_fn,192,11.4127
act_fn,208,12.6293
act_fn,224,12.7147
act_fn,240,12.7787
act_fn,256,12.694
act_fn,272,13.568
act_fn,288,13.8673
act_fn,304,14.2293
act_fn,320,14.5707
act_fn,336,14.8273
act_fn,352,15.6807
act_fn,368,16.256
act_fn,384,17.6
act_fn,400,16.8107
act_fn,416,17.7067
act_fn,432,18.3247
act_fn,448,18.688
act_fn,464,18.7533
act_fn,480,19.2
act_fn,496,19.4773
act_fn,512,19.7333
act_fn,528,23.5086
act_fn,544,24
act_fn,560,25.472
act_fn,576,27.1786
act_fn,592,27.0514
act_fn,608,28.3094
act_fn,624,29.76
act_fn,640,31.3386
act_fn,656,24.064
act_fn,672,24.8754
act_fn,688,24.8966
act_fn,704,25.3234
act_fn,720,25.642
act_fn,736,38.0366
act_fn,752,39.3174
act_fn,768,40.2134
act_fn,784,28.0954
act_fn,800,29.0354
act_fn,816,29.0986
act_fn,832,29.6746
act_fn,848,30.7834
act_fn,864,31.978
act_fn,880,32.3834
act_fn,896,33.728
act_fn,912,57.7286
act_fn,928,59.328
act_fn,944,61.6746
act_fn,960,64.042
act_fn,976,65.2586
act_fn,992,66.5174
act_fn,1008,67.456
act_fn,1024,69.334
act_fn,1040,67.7114
act_fn,1056,69.44
act_fn,1072,71.5726
act_fn,1088,74.176
act_fn,1104,75.818
act_fn,1120,78.122
act_fn,1136,80.128
act_fn,1152,82.6026
act_fn,1168,88.5754
act_fn,1184,89.3226
act_fn,1200,90.6454
act_fn,1216,93.056
act_fn,1232,93.5906
act_fn,1248,95.7874
act_fn,1264,97.3226
act_fn,1280,99.2426
act_fn,1296,103.403
act_fn,1312,105.685
act_fn,1328,107.648
act_fn,1344,109.973
act_fn,1360,110.741
act_fn,1376,111.787
act_fn,1392,113.877
act_fn,1408,115.67
act_fn,1424,117.568
act_fn,1440,118.315
act_fn,1456,119.317
act_fn,1472,121.899
act_fn,1488,124.735
act_fn,1504,125.354
act_fn,1520,128.085
act_fn,1536,129.109
act_fn,1552,131.563
act_fn,1568,133.248
act_fn,1584,134.421
act_fn,1600,136.45
act_fn,1616,137.792
act_fn,1632,140.864
act_fn,1648,140.309
act_fn,1664,142.998
act_fn,1680,144.576
act_fn,1696,145.813
act_fn,1712,148.523
act_fn,1728,149.119
act_fn,1744,151.402
act_fn,1760,153.899
act_fn,1776,156.757
act_fn,1792,156.309
act_fn,1808,162.517
act_fn,1824,163.413
act_fn,1840,167.274
act_fn,1856,166.635
act_fn,1872,168.47
act_fn,1888,169.707
act_fn,1904,170.582
act_fn,1920,174.443
act_fn,1936,176.3
act_fn,1952,179.755
act_fn,1968,181.952
act_fn,1984,182.614
act_fn,2000,183.168
act_fn,2016,186.155
act_fn,2032,187.137
act_fn,2048,188.715
down_proj,1,342.103
down_proj,2,322.475
down_proj,3,323.457
down_proj,4,322.051
down_proj,5,322.987
down_proj,6,324.437
down_proj,7,324.525
down_proj,8,324.481
down_proj,9,324.396
down_proj,10,324.055
down_proj,11,324.483
down_proj,12,324.692
down_proj,13,324.099
down_proj,14,324.991
down_proj,15,324.992
down_proj,16,326.527
down_proj,20,339.372
down_proj,24,339.499
down_proj,28,342.147
down_proj,32,339.157
down_proj,36,385.408
down_proj,40,382.976
down_proj,44,383.148
down_proj,48,376.663
down_proj,52,383.701
down_proj,56,385.453
down_proj,60,385.539
down_proj,64,387.028
down_proj,80,363.904
down_proj,96,370.647
down_proj,112,378.281
down_proj,128,377.941
down_proj,144,464.596
down_proj,160,466.648
down_proj,176,446.296
down_proj,192,453.288
down_proj,208,448.084
down_proj,224,458.28
