layer,sequences,time_us
lm_head,1,712.362
lm_head,2,697.514
lm_head,3,699.798
lm_head,4,698.412
lm_head,5,698.668
lm_head,6,700.694
lm_head,7,701.186
lm_head,8,702.658
lm_head,9,701.696
lm_head,10,702.976
lm_head,11,704.172
lm_head,12,704.256
lm_head,13,707.008
lm_head,14,708.608
lm_head,15,708.376
lm_head,16,709.696
lm_head,20,711.874
lm_head,24,713.836
lm_head,28,715.458
lm_head,32,717.354
lm_head,36,711.852
lm_head,40,714.732
lm_head,44,715.308
lm_head,48,717.698
lm_head,52,719.83
lm_head,56,725.102
lm_head,60,724.334
lm_head,64,723.884
lm_head,80,774.146
lm_head,96,786.266
lm_head,112,742.02
lm_head,128,745.324
lm_head,144,793.54
lm_head,160,798.466
lm_head,176,806.21
lm_head,192,805.55
lm_head,208,809.452
lm_head,224,811.308
lm_head,240,815.662
lm_head,256,819.886
sampler,1,24.746
sampler,2,25.8337
sampler,3,26.0483
sampler,4,26.0063
sampler,5,26.1653
sampler,6,26.2617
sampler,7,26.4537
sampler,8,26.3783
sampler,9,26.464
sampler,10,28.0213
sampler,11,28.3837
sampler,12,28.63
sampler,13,28.6507
sampler,14,28.48
sampler,15,28.8427
sampler,16,28.63
sampler,20,30.037
sampler,24,30.752
sampler,28,31.8397
sampler,32,32.778
sampler,36,33.5467
sampler,40,34.7733
sampler,44,35.5093
sampler,48,36.6293
sampler,52,37.505
sampler,56,38.3893
sampler,60,39.6483
sampler,64,40.4057
sampler,80,44.8
sampler,96,49.4083
sampler,112,56.0433
sampler,128,63.766
sampler,144,74.5603
sampler,160,82.9337
sampler,176,108.821
sampler,192,118.101
sampler,208,128.363
sampler,224,138.656
sampler,240,151.051
sampler,256,164.15
